Kia K5 II Седан,$ 13 800,,"2018 г., 2 л., автомат"
Lexus NX,$ 29 700,,"2018 г., 2 л., автомат"
Mercedes-Benz M-Класс,$ 30 999,,"2012 г., 4.7 л., автомат"
Mercedes-Benz GLE,$ 30 000,,"2016 г., 3.5 л., автомат"
Honda CR-V,$ 27 999,,"2022 г., 1.5 л., вариатор"
BMW X6,$ 31 900,,"2017 г., 3 л., автомат"
Toyota Camry,$ 20 000,,"2018 г., 2.5 л., вариатор"
Toyota Land Cruiser,$ 43 000,,"2008 г., 4.7 л., автомат"
Porsche Cayenne,$ 75 000,,"2017 г., 3.6 л., автомат"
Kia Sorento,$ 36 800,,"2020 г., 1.6 л., автомат"
Lexus LS,$ 25 700,,"2012 г., 4.6 л., автомат"
Mercedes-Benz S-Класс,$ 35 200,,"2015 г., 4.7 л., автомат"
SsangYong Rexton,$ 16 500,,"2017 г., 2.2 л., автомат"
Mercedes-Benz G-Класс AMG,$ 65 000,,"2014 г., 5.5 л., автомат"
Honda Accord,$ 9 590,,"2009 г., 2.4 л., автомат"
Toyota Tacoma,$ 36 500,,"2020 г., 3.5 л., автомат"
LiXiang L7,$ 46 000,,"2023 г., 1.5 л., автомат"
Lexus RX,$ 38 500,,"2018 г., 3.5 л., вариатор"
Kia Seltos,$ 16 800,,"2024 г., 1.5 л., вариатор"
BMW 5 серии,$ 34 000,,"2018 г., 3 л., автомат"
Toyota Camry,$ 23 500,,"2015 г., 3.5 л., автомат"
BMW X7,$ 115 000,,"2023 г., 3 л., автомат"
Mercedes-Benz GLC Coupe,$ 33 800,,"2017 г., 2.1 л., автомат"
BMW X5,$ 67 000,,"2020 г., 3 л., автомат"
Lexus LX,$ 85 000,,"2018 г., 5.7 л., автомат"
Lexus GX,$ 55 800,,"2020 г., 4.6 л., автомат"
Jeep Wrangler,$ 40 000,,"2019 г., 2 л., автомат"
Zeekr 001,$ 125 000,,"2024 г., автомат"
Land Rover Range Rover,$ 65 000,,"2018 г., 3 л., автомат"
Kia Telluride,$ 35 000,,"2020 г., 3.8 л., автомат"
Hyundai Sonata,$ 9 999,,"2016 г., 1.7 л., робот"
Lexus LX,$ 100 000,,"2020 г., 5.7 л., автомат"
Toyota Camry,$ 24 700,,"2018 г., 3.5 л., автомат"
Toyota Camry,$ 38 800,,"2024 г., 2 л., вариатор"
BMW 3 серии,$ 24 700,,"2017 г., 3 л., автомат"
Mercedes-Benz E-Класс AMG,$ 23 000,,"2008 г., 6.2 л., автомат"
Mercedes-Benz GL-Класс,$ 26 000,,"2012 г., 4.7 л., автомат"
Hyundai Elantra,$ 12 700,,"2017 г., 2 л., автомат"
Dodge Charger,$ 25 600,,"2019 г., 3.6 л., автомат"
Toyota Ist,$ 6 100,,"2002 г., 1.3 л., автомат"
Xiaomi SU7,$ 46 338,,"2024 г., автомат"
Kia Morning,$ 10 900,,"2021 г., 1 л., автомат"
Lexus GX,$ 72 000,,"2021 г., 4.6 л., автомат"
Kia Seltos,$ 16 800,,"2024 г., 1.5 л., вариатор"
Toyota RAV4,$ 28 200,,"2019 г., 2.5 л., автомат"
BMW X7,$ 75 000,,"2019 г., 4.4 л., автомат"
Hongqi HS5,$ 23 500,,"2020 г., 2 л., автомат"
BMW 5 серии,$ 35 000,,"2018 г., 3 л., автомат"
Hyundai Sonata,$ 13 800,,"2019 г., 2 л., автомат"
Toyota Camry,$ 20 500,,"2021 г., 2.5 л., вариатор"
Toyota 4Runner,$ 22 500,,"2008 г., 4 л., автомат"
Subaru Legacy,$ 21 000,,"2021 г., 2.5 л., вариатор"
Honda CR-V,$ 22 500,,"2022 г., 2 л., вариатор"
BMW X5,$ 31 000,,"2016 г., 3 л., автомат"
Toyota RAV4,$ 25 100,,"2019 г., 2.5 л., автомат"
Toyota Crown Majesta,$ 11 500,,"2005 г., 4.3 л., автомат"
BMW X5,$ 83 000,,"2022 г., 3 л., автомат"
Toyota Camry,$ 36 500,,"2024 г., 2 л., вариатор"
Hyundai Santa Fe,$ 15 300,,"2019 г., 2.4 л., автомат"
Hyundai Sonata,$ 19 000,,"2021 г., 1.6 л., автомат"
Renault Samsung QM6,$ 24 000,,"2023 г., 2 л., вариатор"
Toyota Highlander,$ 20 500,,"2011 г., 3.5 л., автомат"
Toyota RAV4,$ 25 500,,"2023 г., 2.5 л., автомат"
Hyundai Palisade,$ 25 900,,"2021 г., 2.2 л., автомат"
BMW X5,$ 35 000,,"2017 г., 3 л., автомат"
Toyota Allex,$ 6 800,,"2003 г., 1.5 л., автомат"
BMW X5,$ 34 500,,"2017 г., 3 л., автомат"
Hyundai Sonata,$ 16 700,,"2020 г., 2 л., автомат"
Subaru Outback,$ 14 500,,"2013 г., 2.5 л., вариатор"
Toyota Highlander,$ 37 000,,"2021 г., 2.5 л., автомат"
Toyota Camry,$ 29 500,,"2021 г., 2.5 л., вариатор"
Subaru Outback,$ 27 000,,"2020 г., 2.4 л., вариатор"
Toyota Highlander,$ 16 800,,"2009 г., 3.5 л., автомат"
Land Rover Range Rover Sport,$ 18 500,,"2012 г., 5 л., автомат"
Honda CR-V,$ 23 800,,"2018 г., 1.5 л., вариатор"
Toyota Corolla,$ 16 500,,"2020 г., 2 л., вариатор"
ВАЗ (Lada) 2121 (4x4) Нива,$ 10 900,,"2021 г., 1.7 л., механика"
Toyota Land Cruiser,$ 50 000,,"2015 г., 4.5 л., автомат"
Mercedes-Benz E-Класс,$ 10 700,,"2008 г., 3 л., автомат"
Lexus GX,$ 26 800,,"2008 г., 4.7 л., автомат"
Toyota Camry,$ 9 300,,"2006 г., 3.5 л., автомат"
Lexus ES,$ 31 700,,"2019 г., 3.5 л., автомат"
Renault Talisman,$ 11 000,,"2017 г., 1.6 л., робот"
BMW 5 серии,$ 34 000,,"2017 г., 3 л., автомат"
Lexus LX,$ 24 800,,"2006 г., 4.7 л., автомат"
